ID,Permalink,Text,Date,Retweets,Favorites
958392588280610816,https://twitter.com/Tasnimnews_Fa/status/958392588280610816,حضور حجت الاسلام #رئیسی در جمع #رزمندگان_جبهه_مقاومت در نقطه صفر مرزی #فلسطین اشغالیpic.twitter.com/3PZ7XvF6VO,2018-01-30,25,215
958362671413276672,https://twitter.com/Tasnimnews_Fa/status/958362671413276672,واکنش #وزيربهداشت به کليپ توصیه #کارشناس_يزدي به خانم ها/کارشناس شبکه تابان در برنامه‌ای از زنان خواسته بود که پای شوهرانشان را ماساژ دهندpic.twitter.com/uJIgde4QSS,2018-01-30,2,24
958361196704550912,https://twitter.com/Tasnimnews_Fa/status/958361196704550912,#ظريف در کنایه به اقدام نمایشی روز گذشته کاخ سفید: مُهر استاندارد نشانه کیفیت محصولات ایرانی است؛ ولی برای #ترامپ و شرکایش متاسفم چون ما این علامت را روی قطعات #موشک نمی زنیم. وقت آن است که برای جعل و تقلب هم کمی همت کنید http://tn.ai/1643164 pic.twitter.com/i0jL5QjihG,2018-01-30,3,12
958338858197946369,https://twitter.com/Tasnimnews_Fa/status/958338858197946369,تصویری از حجت الاسلام #رئیسی در حرم #حضرت_رقیه (سلام الله علیها)pic.twitter.com/3tIi0vNnKO,2018-01-30,0,37
958330724867813376,https://twitter.com/Tasnimnews_Fa/status/958330724867813376,کرایه #فرودگاه_امام تا #تهران ۱میلیون تومان شد!!!/ با توجه به لغو تعداد زیادی پرواز فرودگاه امام خمینی(ره) و انسداد برخی آزادراه‌های منتهی به این فرودگاه، رانندگان از مسافران برای مسیر فرودگاه ــ تهران یک‌میلیون تومان #کرایه درخواست می‌کنند! http://tn.ai/1642711 pic.twitter.com/cjwvjS4OG2,2018-01-30,21,103
958317118134595586,https://twitter.com/Tasnimnews_Fa/status/958317118134595586,قنديل‌های بسيار خطرناك در #تهران #برف #نجفی #ناتوانpic.twitter.com/PjndqYOC68,2018-01-30,18,79
958300094922674176,https://twitter.com/Tasnimnews_Fa/status/958300094922674176,#رحیم‌پور_ازغدی:وضعیت قبل از #انقلاب به نسل جوان درست منتقل نشده/براحتی میتوان در مقابلشان جای #جلاد و #شهید، #قهرمان و ضدقهرمان، #ظالم و #مظلوم را عوض کرد/قرار نبود در چهلمین سالگرد #انقلاب #حقوق_نجومی و #اختلاس وجود داشته باشد/سبک مدیریتی ما اشکال دارد http://tn.ai/1642288 pic.twitter.com/tuXYzPoMMJ,2018-01-30,10,59
958292431111368704,https://twitter.com/Tasnimnews_Fa/status/958292431111368704,حرم مطهر #رضوی در سوگ شهادت #حضرت_زهرا (سلام الله علیها) سیاه‌پوش شدpic.twitter.com/RyYv9UtTwi,2018-01-30,5,39
958287317147496448,https://twitter.com/Tasnimnews_Fa/status/958287317147496448,تولد چهارقلوهای #اصفهانی/ نوزاداني که در فصل #سرما، گرمابخش زندگي والدينشان شدندpic.twitter.com/UsmAWAFY80,2018-01-30,4,50
958286551246606336,https://twitter.com/Tasnimnews_Fa/status/958286551246606336,تصاویری از نابودي و به درک واصل شدن تعدادی از اعضای #داعش توسط #سپاه در درگیریهای اخیر در غرب کشور/اعضای این گروه #تروریستی قصد ورود به داخل خاک کشورمان را داشتند که با هوشیاری نیروی زمینی سپاه از ورود به خاک میهن اسلامی بازماندند #من_عاشق_قاسم_سلیمانی_هستم #سردار_سلیمانیpic.twitter.com/jBN3htYoys,2018-01-30,2,23
958275723525087232,https://twitter.com/Tasnimnews_Fa/status/958275723525087232,پیدا شدن جسد توله #پلنگ ایرانی در کوه های درق، خراسان شمالی #ارسالی_مخاطبینpic.twitter.com/VcyTO1K0MF,2018-01-30,0,34
958264605859549184,https://twitter.com/Tasnimnews_Fa/status/958264605859549184,#لاریجانی: کسی در مجلس مانع سوال از #روحانی نیست/ این در حالی است که در ماه‌های گذشته برخی نمایندگان اعلام کردند رئیس #مجلس مانع سوال از روحانی است http://tn.ai/1642534 pic.twitter.com/H6IAPi78A5,2018-01-30,14,47
958262198224211968,https://twitter.com/Tasnimnews_Fa/status/958262198224211968,انتقاد #فردوسی_پور از #مديريت_بحران شهر #تهران: ۲۰ دقیقه در کوچه روبرویی صداوسیما گیر افتاده بودیم/ مگر میشود برف بیاد، اینقدر همه چیز بهم بریزد/ ستاد بحران خودش بحران زده است/ برمبنای شایسته سالاری افراد انتخاب شوند #نجفی #ناتوانpic.twitter.com/c4DAiPf270,2018-01-30,4,37
